Grapheme	IPA
$	NULL
'$	NULL
*$	NULL
**$	NULL
-	NULL
/s	s
?$	NULL
^	NULL
^*	NULL
^*s	s
^*ʃ	ʃ
^B	b
^D	d
^G	g
^H	h
^I	i
^K	k
^L	l
^M	m
^N	n
^S	s
^T	t
^W	w
^a	a
^a:	aː
^aai	aːi̯
^b	b
^d	d
^dˁ	dˤ
^dˤ	dˤ
^e	e
^e:	eː
^ee	eː
^f	f
^fw	f w
^g	g
^h	h
^hw	h w
^i	i
^i:	iː
^j	j
^k	k
^kw	kʷ
^l	l
^ls	l s
^m	m
^mh	mʰ
^mʃ	m ʃ
^mˁ	mˤ
^n	n
^nˁ	nˤ
^p	p
^pzaz_9pl)_b-z-_z	p z a z
^q	q
^r	r
^rʒ	r ʒ
^rˁ	rˤ
^rˤ	rˤ
^s	s
^sˁ	sˤ
^sˤ	sˤ
^t	t
^tt	tː
^tw	t w
^tʃ	tʃ
^tˁ	tˤ
^tˁw	tˤ w
^tˤ	tˤ
^u	u
^v	v
^w	w
^x	x
^ya	j a
^z	z
^zˁ	zˤ
^ð	ð
^ðˁ	ðˤ
^Ħ	ħ
^ħ	ħ
^ɖˁ	ɖˤ
^ə	ə
^ɣ	ɣ
^ʃ	ʃ
^ʃ$	ʃ
^ʃaxs_ˁ*	ʃ a x sˁ
^ʒ	ʒ
^ʔ	ʔ
^ʔaʕt_ˁa:	ʔ a ʕ tˤ aː
^ʕ	ʕ
^ʤ	dʒ
^ʦ	ts
^ʧ	tʃ
^γ	ɣ
^θ	θ
^θˁ	θˤ
^ṛ	ṛ/r
^ṣ	ṣ/s
^‘	ʔ
^‘h	hˤ
_	NULL
_$	NULL
__	NULL
_ˁa	ʕ a
_ˁdˁ	ˀdˁ
a	a
a$	a
a:	aː
a:$	aː
a:ye$	aː j e
a_:	aː
aa	aː
aa$	aː
aay$	aːi̯
ai	ai̯
ai$	ai
ajʃ$	ai̯ ʃ
au	au̯
ay	ai̯
aya	a y/j a
ayya	a jː a
a’a	a ʔ a
b	b
b$	b
bb	bː
bb$	bː
bs$	b s
bsˁ	b sˤ
d	d
d$	d
dd	dː
dd$	dː
dˁ	dˤ
dˁ$	dˤ
dˁdˁ	dˤː
dˁdˁ$	dˤː
dˤ	dˤ
dˤ$	dˤ
dˤdˤ$	dˤː
e	e
e$	e
e:	eː
ee	eː
ei	ei̯
f	f
f$	f
g	g
g$	g
h	h
h$	h
i	i
i$	i
i:	iː
i:$	iː
i:i	iː i
i:y	iː j
i_:	iː
ii	iː
iya	i j a
j	j
j$	j
jaabi_s/na_aʃif	j aː b i
jj	jː
k	k
k$	k
kk	kː
l	l
l$	l
ll	lː
ll$	lː
lˁ	lˤ
lˁ$	lˤ
lˤ	lˤ
lˤ$	lˤ
l’	lʼ
m	m
m$	m
ma/_mu	m a
mi/a	m i
mm	mː
mm$	mː
ms	m s
ms$	m s
mʃ$	m ʃ
n	n
n$	n
na:di/u_m	n aː d i
nh	nʰ
nn	nː
nn$	nː
ns	n s
ns$	n s
o	o
o$	o
o:	oː
oo	oː
p	p
p$	p
q	q
q$	q
r	r
r$	r
r_ˁ	rˤ
r_ˁ$	rˤ
rr	rː
rr$	rː
rs	r s
rʃ$	r ʃ
rˁ	rˤ
rˁ$	rˤ
rˤ	rˤ
rˤ$	rˤ
s	s
s$	s
s_ˁ	sˁ
s_ˁ*	sˁ
sa/eme	s a
sh	ʃ
sw	s w
sˁ	sˤ
sˁ$	sˤ
sˤ	sˤ
t	t
t$	t
ts	ts
tt$	tː
tˁ	tˤ
tˤ	tˤ
t’	tʼ
u	u
u$	u
u:	uː
u:$	uː
ue$	u e
uu	uː
u’u	u ʔ u
v	v
w	w
w$	w
ww	wː
x	x
x$	x
xs	x s
xx	xː
y	y
y$	y
ya	j a
yy$	j j
z	z
zz$	zː
æ	æ
ð	ð
ð$	ð
ðð	ðː
ðˁ	ðˤ
ðˁ$	ðˤ
ðˁðˁ$	ðˤː
ðˤ	ðˤ
ħ	ħ
ħ$	ħ
Ʒ	ʒ
ɔ	ɔ
ɔɔ	ɔː
ə	ə
ɣ	ɣ
ʃ	ʃ
ʃ$	ʃ
ʒ	ʒ
ʒ$	ʒ
ʔ	ʔ
ʔ$	ʔ
ʔs$	ʔ s
ʔʔ	ʔː
ʔʔ$	ʔː
ʕ	ʕ
ʕ$	ʕ
ʤ	dʒ
ʤ$	dʒ
ʤʤ	dʒː
ʦ	ts
ʦ$	ts
ʧ	tʃ
ʧ$	tʃ
ˁa:	ʕ a:
ˁm	mˁ
γ	ɣ
θ	θ
ṣ$	ṣ/s
’$	ʔ
’b	bˤ
’d	dˤ
’j	jˤ
’m	mˁ
’n	nˤ
’r	rˤ
’s	ʔ
’t	tˤ
’v	vˤ
’ʕ	ʕ
