NUMBER	LEXIBANK_GLOSS	ENGLISH
1	ALL	ALL
2	ASH	ASH
3	BAR K	BARK
4	BEL LY	BELLY
5	BIG	BIG
6	BIR D	BIRD
7	BITE	BITE
8	BLA CK	BLACK
9	BLO OD	BLOOD
10	BO NE	BONE
11	BRE AST	BREAST
12	BUR N(V  T	BURN(VT
13	CLA W	CLAW
14	CLO UD	CLOUD
15	COL D	COLD
16	CO ME	COME
17	DIE	DIE
18	DO G	DOG
19	DRI NK	DRINK
20	DRY	DRY
21	EAR	EAR
22	EAR TH, DIR  T	EARTH,DIRT
23	EAT	EAT
24	EGG	EGG
25	EYE	EYE
26	FAT  ,N.	FAT,N.
27	FEA THE R	FEATHER
28	FIRE	FIRE
29	FIS H	FISH
30	FLY	FLY
31	FO OT	FOOT
32	FUL L	FULL
33	GIV E	GIVE
34	GO OD  adj	GOODadj
35	GRE EN	GREEN
36	HAI R	HAIR
37	HAND	HAND
38	HEA D	HEAD
39	HEA R	HEAR
40	HEA RT	HEART
41	HO RN	HORN
42	I	I
43	KILL	KILL
44	KNE E	KNEE
45	KN OW	KNOW
46	LEA F	LEAF
47	LIE	LIE
48	LIVE  R	LIVER
49	LON G	LONG
50	LOU SE	LOUSE
51	MA N	MAN
52	MA NY	MANY
53	ME AT	MEAT
54	MO ON	MOON
55	MO UN TAI N	MOUNTAIN
56	MO UTH	MOUTH
57	NA ME	NAME
58	NEC  K	NECK
59	NE W	NEW
60	NIG HT	NIGHT
61	NOS E	NOSE
62	NO T	NOT
63	ONE	ONE
64	PER SON	PERSON
65	RAI N	RAIN
66	RED	RED
67	RO  AD	ROAD
68	RO OT	ROOT
69	RO UN D	ROUND
70	SAN D	SAND
71	SAY	SAY
72	SEE	SEE
73	SEE D	SEED
74	SIT	SIT
75	SKI N	SKIN
76	SLE  EP	SLEEP
77	SM ALL	SMALL
78	SM OKE	SMOKE
79	STA ND	STAND
80	STA R	STAR
81	STO NE	STONE
82	SUN	SUN
83	SWI M	SWIM
84	TAI L	TAIL
85	THA  T	THAT
86	THI S	THIS
87	TH OU	THOU
88	TO NG  UE	TONGUE
89	TO OT H	TOOTH
90	TRE E	TREE
91	TW O	TWO
92	WA LK	WALK
93	WA  RM	WARM
94	WA TER	WATER
95	WE	WE
96	WH AT	WHAT
97	WHI TE	WHITE
98	WH O	WHO
99	WO MA N	WOMAN
100	YEL LO W	YELLOW
