ABC	ENGLISH	CA	CA-  Mor	CA-  Mlt	CA-  Cai	CA-  Dms	CA-  Irq	CA-  Skh	CA- AqArb	CA-  Cyp	CA-  Glf	CA-  Ymn	CA-  Nig	CA-  Bux	CA-  Nubi	word stability
74	SIT	qaʕad	0	1	1	1	1	1	1	1	1	0	1	1	0	0.77
75	SKIN	ʤild	1	1	1	1	1	1	1	0	1	1	1	1	1	0.92
76	SLEEP	na:ma	0	0	1	1	1	1	1	1	1	0	1	1	1	0.77
77	SMALL	sˁaγi:r	1	1	1	1	1	1	0	1	1	1	0	1	1	0.85
78	SMOKE	duxa:n	1	1	1	1	1	1	0	1	1	1	1	0	1	0.92
79	STAND	qa:ma	0	1	1	0	0	0	0	0	1	0	0	1	1	0.38
80	STAR	naʤma	1	0	1	1	1	1	0	1	1	1	1	1	1	0.85
81	STONE	ħaʤarah	1	0	1	1	1	1	1	1	1	1	1	1	1	0.92
82	SUN	ʃams	1	1	1	1	1	1	1	1	1	1	1	1	1	1
83	SWIM	sabaħa ʕaam	0	0	0	1	1	1	1	0	1	0	0	1	0	0.46
84	TAIL	ðanab ðail	0	1	1	1	0	0	0	1	0	0	1	1	1	0.58
85	THAT	ðalika	1	1	0	0	1	1	1	0	0	1	1	1	0	0.62
86	THIS	ha:ða:	1	1	1	1	1	1	1	1	1	0	1	1	0	0.85
87	THOU	ʔanta	1	1	1	1	1	1	1	1	1	1	1	1	1	1
88	TONGUE	lisa:n	1	1	1	1	1	1	1	1	1	1	1	1	1	1
89	TOOTH	sinn	1	1	1	1	1	1	1	1	1	1	1	0	1	0.92
90	TREE	ʃaʤarah	1	1	1	1	1	1	1	0	1	1	1	0	1	0.92
91	TWO	iθna:ni	0	1	1	1	1	1	1	1	1	1	1	1	1	0.92
92	WALK	maʃa:	1	1	1	1	1	1	1	1	1	0	1	0	1	0.85
93	WARM	dafiiʔ	1	0	1	0	1	1	0	0	0	1	0	0	0	0.42
94	WATER	ma:ʔ	1	1	1	1	1	1	1	1	1	1	1	1	1	1
95	WE	naħnu	1	1	1	1	1	1	1	1	1	1	1	1	1	1
96	WHAT	ma:	0	0	0	0	0	0	0	0	0	1	0	0	0	0.08
97	WHITE	ʔabjadˁ	1	1	1	1	1	1	1	1	1	1	1	1	1	1
98	WHO	man	0	1	1	1	1	1	1	1	1	1	1	1	1	0.92
99	WOMAN	imraʔah	1	1	0	1	1	1	1	1	1	1	1	1	1	0.92
100	YELLOW	ʔasˁfar	1	1	1	1	1	1	1	1	1	1	1	1	0	0.92
Sum			77	76	83	85	82	84	69	66	82	76	73	67	69	76.08
Possible			100	100	99	100	100	98	84	87	100	96	97	88	95	
pro-rate			77	76	84	85	82	86	82	74	82	79	75	76	73	79.23
1.4 root		0	830	822	883	890	868	896	868	806	868	845	814	822	799	846
		CA	CA-  Mor	CA-  Mlt	CA-  Cai	CA-  Dms	CA-  Irq	CA-  Skh	CA-  AqArb	CA-  Cyp	CA-  Glf	CA-  Ymn	CA-  Nig	CA-  Bux	CA-  Nub	
