14	CLO UD	γam a:m at	γm am  a	sħa ba	saħ aab	γeem e	γeem a	γeem i	3	ɣ-y-r	siħaa b,  γeem	2	dˁa(ha)w ije	γeem,qe em	*soobur a
15	COL D	ba: rid	bar ed	bi:r ed	bar d	barəd	bard a:n	bi:rid	beerə  d	*pere t  (brd)	baari d	baari d	barda:n	bard	bari
16	CO ME	ʤa: ʔa	ʒa	ʤi:	ga	ʔəʤa	ʤa:	aʦa	ʤa:	ʤ-y- y	ʤa	ʤaaʔ	ʤa	dƷakki	ʤa
17	DIE	ma: ta	mat	mi:t	maa t	ma:t	ma:t	ma:t	ma:t	m- w-t	maat	maat	ma:t	maat	mutu
18	DO G	kal b	kel b	kelb	kalb	kalb	ʧalib	ʧalb	kalb	k-l-b	ʧalb	kalb	kalb	kalb	keli
19	DRI NK	ʃari ba	ʃre b	ʃoro b	ʃirib	ʃəreb	ʃirab	iʃrib	ʃərəb	ʃ-r-b	ʃarab	ʃirib	ʃarab	ʃarab	‘aʃrubu
20	DRY	ja:b is	jab es	ni:ʃ ef	na:ʃ if*	na:ʃe f	na:ʃif	ji:bis	jeebə s	neʃef ʤ-f-  y	jaabi s/na  aʃif	jaabi s	ja:bis	yabs	abis
21	EAR	ʔuð n	wd en	wid na	wid n	ʔədən	ʔiðin	iðn	ədən	iðn  ʔ-ð- n	iðin	ʔiðn	dˁan	ʔizən	a’dan
22	EAR TH, DIR  T	tur a:b	trˁa b	trab	ardˁ	tˁrˁa: b	tra:b	arðˁ, turbi	ardˁ	trap t-r-b	traab	arðˁ	ardˁ	tiin	tura
23	EAT	ʔak ala	kla	ki:l	akal	ʔakal	ʔakal	aʧal	akal	ʔ-k-l	ʔakal	ʔakal	akal	ʔukul	‘akulu
24	EGG	bai dˁat	bidˁ a	Bajd a	bee dˁa	beedˁ a	beeðˁ a	beeðˁ a	bajdˁ a	b-y- dˁ	beedˤ a	bajðˁ ah	be:dˁe	bayda	ma’jai
25	EYE	ʕai n	ʕej n	ʕajn	ʕee n	ʕeen	ʕeen	ʕeen	ʕajn	ʕayn ʕ-y-  n	ʕeen	ʕajn	e:n	ʔayn	‘ena
26	FAT  ,N.	ʃaħ m	ʃħe m	ʃaħ am	ʃaħ m	ʃaħə m	ʃaħa m	ʃaħm	samə n, ʃuma  :n	s-m- n	dihin	3	ʃahama	duhun	dikin
27	FEA THE R	ri:ʃ at	riʃa	riʃa	ri:ʃa *	ri:ʃe	ri:ʃa	ri:ʃi	4	4	riiʃa	ri:ʃeh	su:fa	3	*suu-  teri (hair of bird)
28	FIRE	na: r	ʕafj a	nar	na:r	nˁa:rˁ	na:r	na:rˁ	na:rˁ	w-q- d	dˤaw, naar	naar	na:r	naar	nari
29	FIS H	sa ma  k	ħut	Ħut a	sam ak	(sam ak?)	(simi c?)	sama ʧi	sama k	5	sima ʧ	ħuut	samaka ħu:tˁa	samak	samaga
30	FLY	tˁa: ra	tˁar	tar	tˁa:r ˁ	tˁa:r	tˁa:r	tˁa:r	tˁ-y- r	6	tˤaar	tˁa:r	tˁa:r	nat’taa	1
31	FO OT	riʤ l	rʒel	si:ʔ	rigl	rəʤəl	riʤil	(r)iʦl	əʤər	iʒr	riil	riʤl	riʤil	ridƷil	kura
32	FUL L	mal  ʔa:n	ʕa me r	mi mli	malj aan	mal(j) a:n	malja: n, matru:  s	malja: n madm  u:ʦ	əmmal a	mpla n  m-l-'	matru us	matru: s	malʔan	4	mal’jan
33	GIV E	ʔaʕt ˁa:	ʕtˁa	ta	idda	ʕatˁa	nitˁa	intˤa	ʕatˁa	ʕ-tˁ- y	ʕatˤa	ʔadd a	tˁaʔan	an’taa	we’di
34	GO OD  adj	tˁajj ib	me  zja n	Tajj eb	kwa jjis	mni: ħ	zeen, xoos	mali: ħ	kəwa jjəs	k-y- s	zeen	tˁajji b, naaħiy	sa/eme	zeen	kweis
35	GRE EN	ʔax dˁa  r	xdˁ er	aħd ar	ʔax dˁar	ʔaxdˁ  ar	ʔaxðˁ  ar	ʔaxðˁ  ar	axdˁa r	x- dˁ-r	ʔaxdˤ  ar	ʔaxðˁ  ar	axadˁar	ʔaxzar	*manjan
36	HAI R	ʃaʕr	ʃʕer	ʃaʕa r	ʃaʕr	ʃaʕər	ʃaʕra	ʃaʕra	5	ʃaxve ʃ-ʕ-f	ʃaʕar	ʃaʕra	ʃiʔir	ʃar’ʕas	su
37	HAND	jad	idd	id	i:d	ʔi:d	ʔi:d	eed	i:d	ity-d	yad	yad	i:d	yad	ida
38	HEA D	raʔ s	rˁas ˁ	ras	rˁaa s	ra:s	ra:s	rˁa:s	rˁa:s	m-x- x	raas	raʔs	ra:s	ṛaaṣ	ras
39	HEA R	sa miʕ  a	sm eʕ	sam a’	simi ʕ	səme ʕ	sima ʕ	ismiʕ	səmə ʕ	s-m- ʕ	sima ʕ	simiʕ *	simi	samaʕ	‘asma
40	HEA RT	qal b	qel b	ʔalb	ʔalb	ʔalb	qalb	kalˤb	fa:d	kilep	galb	galb	galib	qalb	gelba
41	HO RN	qar  n	qer  ˁn	ʔarn	ʔarn	ʔarən	girin	girin	6	korn  e	garn	garn*	garn	ʃɔx	*gurun
42	I	ʔan a:	ana	ji:n	ana	ʔana	ʔa:ni	ana	ana	ʔ-n- a	ana	ʔana	ana	anaa	‘ana
43	KILL	qat ala	qtel	ʔate l	ma  wwi t	ʔatal	kital	katal	qatal	q-t-l	gital	gatal	katal	qa’tal	katul
44	KNE E	ruk bat	rok ba	rko bba	ruk ba*	rəkb e	rukb a	rˤuʧb i	7	7	rikba	rukbi h*	rukuba	5	*rukuba
45	KN OW	ʕar  afa	ʕrˁe  f	jaf	ʕirif	ʕəref	ʕiraf	ʕarˤaf	ʕərəf	ʕ-r-f	ʕaraf,  dara	diri  ʕaraf	ʕirif	ʔaraf	‘arufu
46	LEA F	war aqa  t	wer qa	wer ʔa	war ʔa*	wara ʔa	warg a	wara ka	wara qa	8	wriga	wara gih*	waraga	varaq	korofo
47	LIE	raq ada	ttm ed	mte dd	itma ddad  *	tlaʔʔa h	tmadd ad	tʦall as	8	9	tamad dad	ragad*	ragad	daaʕa	2
48	LIVE  R	kab id	keb da	fwi:d	kibda*	kəbəd	kabda	2	9	q-sˁ-b	ʧibd	kabdih*	kibde	kabda	*koobda
49	LON G	tˁa wi:l	tˁwi l	twil	tˁaw i:l	tˁawi: l	tˁuwi: l	tˁawi: l	tˁ-w- l	tˁ-w- l	tˤawii l	tˁawi: l	tˁawil	ta’viil	towil
50	LOU SE	qa mla  h	qe mla	ʔam la	ʔam la*	ʔaml e	gamlˁ a	kamlˤ	10	q-m- l	gaml a	gaml eh	2	qamla	3
51	MA N	ra ʤu  l	rˁaʒ el	raʤ el	rˁa: gil	rəʤʤ a:l	riʤʤ a:l	zala mi	raʤə l	Intsa n	rayya al	raʤʤ a:l	raʤil	‘zaaker, ra’Ʒul	ragi
52	MA NY	kaθ i:r	bez zaf	ħaf na	kitii r	kti:r	hwa:j a	ʧθi:r	kəti:r	xtir	waa ʤid	kaθi: r	kati:r	ka’siir	*milan
53	ME AT	laħ m	lħa m	laħa m	laħ ma	(laħa m)	laħa m	laħm	laħə m	l-ħ- m	laħa m	laħm	la:ma	læħəm	la:m
54	MO ON	qa ma  r	ga mrˁ  a	ʔam ar	ʔam ar	ʔama rˁ	gum ar	kama rˤ	11	q-m- r	gama r	gama r	gamar	qamar	*ʃa(h)ari
55	MO UN TAI N	ʤa bal	ʒbe l	mu nta  nja	gab al*	ʤab al	ʤiba l	ʦaba l	ʤab al	ʒipel	ʤiba l	ʤab al*	haʤar	dƷabal	ʤebel
56	MO UTH	fam	fo mm	ħalʔ	buʔ ʔ	təm m	ħaliq	ħalk, bu:z	təm m	*xan k  ħ-n- k	ħalʤ , buuz	fum m*	gaddu:ma	bæb	*kasma
57	NA ME	ism	smi  ja	ise  m	ism	ʔəsə  m	ʔisim	ism	əsəm	ʔ-s-  m	isim	ʔism	isim	ʔisim	*asma
58	NEC  K	ʕunq	ʕenq	ʕonʔ	raʔaba*	raʔbe	rugba	rakaba	12	r-q-b	rguba	rugbeh	ragaba	6	*ragabtu
59	NE W	ʤa di:d	ʒdi d	ʤdi da	gidii d	ʤdi: d	ʤidi: d	ʦadi: d	ʤədi :d	ʒtit ʤ-  d-d	ʤadi id	ʤadi :d	ʤadi:d	dƷadiid	ʤedid
60	NIG HT	lail ah	lila	lejl	leel a	leele	leela	leeli	lajl	l-y-l	leel	lajl	le:le	layl	4
61	NOS E	ʔun f	nif	imni  :ħer	man axii  r*	ʔənf	xaʃi m	xiʃm	ənf	maxu r  n-x-r	xaʃi m	nuxr eh	munxur	ʔanf	*nyanga ratu
62	NO T	la:	ma -ʃ	mh uʃ	mi ʃ	ma:	mu:	ma:	ma:	l-ʔ	ma/ mu	ma:	mi/a	7	ma
63	ONE	ʔaħ ad	wa ħed	wi:ħ ed	wa: ħid	wa:ħ ed	wa:ħi d	weeħ di	weeħ əd	exen, exte  w-ħ- d	waaħ id	wa:ħi d	wa:hid	waaħid	wai
64	PER SON	ʔins a:n	sije d	pers una	ʃaxs ˁ*	zala me	ʃaxisˁ	insa: n a:da  mi	nafar  ˁ	insan  ʔ-n-s	nafar	ʃaybe h?	na:di/u m	adami	azol  (EAzol, p.210)
65	RAI N	mat ˁar	ʃta	ʃita	mat ˁar	mˁatˁ arˁ	mutˁ ar	matˁ ar	matˁ ar	ʃ-t-y	matˤ ar	matˁ ar	almatˁara	mata’ra	matara
66	RED	ʔaħ ma r	ħm erˁ	aħm ar	aħm ar	ʔaħm ar	ʔaħm ar	ʔaħm arˁ	aħma r	axma r  ħ-m-  r	ʔaħm ar	ʔaħm ar	e:mar	ʔaħmar	‘amer
67	RO  AD	tˁari:q	tˁrˁiq	triʔ	tˁari:ʔ	tˁari:ʔ	tˁari:q	tˁari:k	tˁareeq	trup (pl)  d-r- b	tˤariig	tˁari:g	3	darb	*siika
68	RO OT	ʤa ðr	ʒde r	ʕerʔ	1	ʃərəʃ	ʕirig	gaʕr,  ʃirʃ ʦidir	ʕəroo q	10	jiðir	ʕirgin **	Irg	8	asab
69	RO UN D	mud aww ar	mdˁ uww er	Ton d	mid aww  ar*	mdaw war	mdaw war	mda wwar  ˁ	məda wwər  ˁ	11	muda wwar	muda wwar*	da:jir	9	5
70	SAN D	ra ml	rˁe mla	ram el	ram l*	raməl	ramu lˁ	ramlˁ	13	12	ramil	4	keesa	10	lumra
71	SAY	qa:l a	q(g )al	ʔal	ʔa:l*	ʔa:l	ga:l	ka:lˤ	qa:l	q-w- l	gaal	ga:l	ga:l	qɔɔl	ke lemu
72	SEE	raʔ a:	ʃaf	ra	ʃa:f	ʃa:f	ʃa:f	ʃa:f, tˤass	arˁa	q-ʃ-ʕ	ʃaaf	ibsˁar	ʃa:f	ʃaaf	aainu
73	SEE D	biz r	ʒerr iʕa	zerr i:ʕa	ħab ba	bəzr e	bazra	biðr	bazər  ħabb	ptar b-z-  r	baðr a	habb eh	te:rab	11	eena (eye)
74	SIT	qaʕ ada  ,ʤa las a	gle s	ʔaʕa d	ʔaʕa d	ʔaʕad	giʕad	kaʕa d	qəʕə d	q-ʕ- d	gaʕa d	ʤala s	ga’ad	qaʕad	*ge(e)n
75	SKI N	ʤil d	ʒel d	ʤil da	gild *	ʤələ d	ʤilid	ʦild	ʤəld	s-l-x	ʤild	ʤild	ʤilde	dƷild	Gildu
76	SLE  EP	na:ma	nʕes	irʔad	naam	na:m	na:m	na:m	na:m	n-w-m	naam, rigad	ragad	no:m	naum	num
77	SM ALL	sˁa γi:r	sˁγi rˁ	zγir	sˁuγ ajjar	zˁγi:r	sˁγajj ir	sˁaγi: r	γəzi:r (aq) zəγaj jər  (arb)	sˁ-ɣ- r	sˤaγii r	sˁaγi: r	dagi:g	sa;γiir	Sakar
78	SM OKE	dux a:n	dox xan	duħ ħan	dux xa:n	dəxxa  :n	duxx a:n	daxan i	14	d-x- n	duxa an	duxx a:n	duxa:n	dƷarra	Dukan
79	STA ND	qa: ma	wq ef	ʔam	wiʔi f	waʔʔ af	wuga f	kaʕa  d, ka:m	qa:m	w-q- f	wuga f	sann ab	anʔadal	qɔm	Gum
80	STA R	na ʤ ma	neʒ ma	still a, kew  kba	nig ma*	naʤ me	naʤ ma	niʦm i	15	n- ʤ-m	naʤ ma	naʤ m	naʤima	nudƷum	*nezma
81	STO NE	ħa ʤa  rah	ħeʒ ra	ʤe bla	ħag arˁa  *	ħaʤa ra	ħʤa: ra	ħaʦa r	ħaʤa r	ħ- ʤ-r	ħaʤa r	ħaʤa r	hiʤer	hadƷar	Lager
82	SUN	ʃa ms	ʃe mʃ	ʃem ʃ	ʃam s	ʃamə s	ʃamis	ʃams	ʃams	ʃimp s	ʃams	ʃams	ʃam	ʃams	*semsi
83	SWI M	sab aħa	ʕa m	ʕam	ʕa: m	saba ħ	sibaħ	saba ħ	zəbə ħ	ɣ-s-l	sibaħ	ʕa:m	a:m	ṣobħaya an	‘hum
84	TAI L	ðan ab	ʃuw wal	Den b	dan ab	dana b	ðeel	ðeel	15	ð-n- b	ðeel, iʧwa	ðeeli n**	danab	zeel	Danab
85	THA  T	ðalika	dak	dak	da	hada:k	(ha:)ða:k	(ha)ða:ʧ	hada:k	ʔ-x-ð	(ha)ðaak	ðajjik, tajjik	ɖˁa:ka	duuk	Nade
86	THI S	ha: ða:	had	din	da	ha:da	ha:ða	ha:(ði )	hada:	h-ʔ	haað a	ðajjih , tajjeh	da:	haa	Wede
87	TH OU	ʔan ta	nta	int	inta	ʔənte	ʔinta	int	ənta	ʔ-n-t	inta	ʔant	inta	hint	‘ita
88	TO NG  UE	lisa  :n	lsa  n	lsi:n	lisa  an*	lsa:n	lisa:n	lsi:in	seen	l-s-n	lisaa  n	lisaa  n	lisa:n	li’saan	*lisaan
89	TO OT H	sin n	sen n	sins	sinn	sənn	sinn	sinn	s-n- n	snan( pl)  s-n- n	sinn	sinn	sinn	12	sunun, sin
90	TRE E	ʃa ʤa rah	ʃeʒ ra	siʤ ra	ʃag ara	ʃaʤa ra	ʃaʤa ra	ʃaʦa rˁa	ʃəʤa rˁa,d a:re  (arb)	13	ʃiʤar a	ʃiʤar eh	ʃadara	γarab	ʃeder/se der
91	TW O	iθn a:ni	ʒuʒ	Tnej n	itne en	tnee n,  ?tinte en	θnee n	θnee n, neel	tənaj n	xnay n  θ-n- y	iθnee n	θinta jn	tine:n	usnaa	Tinin
92	WA LK	ma ʃa:	mʃ a	meʃ a	miʃi	məʃi	miʃa	maʃa	məʃi	miʃi, mpʃa m-ʃ-  y	miʃa	xutˁi	maʃa	γadak	Mashi
93	WA  RM	ħa:mm	dafi,  sxu n	sħuna	da:fi:*	ʃoob	da:fi	di:fi	16	*saxan (v)	ħaami	da:fi*	sa:xin	ħarr	Hari
94	WA TER	ma: ʔ	ma	ilma	may ya*	mˁajj (e)	ma:j	imi	ma:j	m- w-h	maay	maaʔ	alme	maa	mojo, alme
95	WE	naħ nu	ħna	aħn a	iħna	nəħn a	ʔiħna	iħna	nəħn a	n-ħ- n	iħna	ħna	ani:na	nəħna	Ina
96	WH AT	ma:	aʃ(  nu)	ʃ	eeh	ʃu:	ʃ(nu)	eeʃ,  ʃnu:,ʃ ni:	aʃ	ʔ-y-y	ʃinhu  , ʃ-, weeʃ	ma:  ʔajʃ	ʃinu	iʃ	su’nu
97	WHI TE	ʔab jadˁ	bje dˁ	abja d	abja dˁ	ʔabja dˁ	ʔabja ðˁ	ʔabja ðˁ	ʔabja dˁ	apky að  b-y- dˁ	ʔabja dˤ	ʔabja ðˁ	abjadˁ	ʔabiyad	abja
98	WH O	ma  n	ʃku  n	min	mi:  n	mi:n	minu	ma:n	məni	m-n	min	man	mine  ja:tu	miin	munu
99	WO MA N	imr  aʔa h	mr a	mar a	sitt	mara	mara	mrajj i	marˁ a	mara m-r-  ʔ	mara	mare h	mara	ʔimraʔat	marja
100	YEL LO W	ʔasˁ far	sˁfe r	sfajj ar	asˁf ar	ʔasˁf ar	ʔasˁf ar	ʔasˁf ar	asˁfar	sˁ-f- r	ʔasˤf ar	ʔasˁf ar	asˁfar	ʔasfar	*kuruku m
Pos			10 0	100	99	100	100	98	84	87	100	96	97	88	95
		CA	Mor	Mlt	Cai	Dms	Irq	Soukhne	AqArb	Cyp	Glf	Ymn	Nig	Bux	Nubi
