Number	Concept	CA	Mor	Mlt	Cai	Dms	Irq	Skh	AqArb	Cyp	Glf	Ymn	Nig	Bux	Nub
1	ALL	kull	koll	Koll u	kull	kəll	kull	ʧill	kəll, sa:γi:  n	kull	kil	kull	tʃat	kullu	kulu
2	ASH	ra ma: d	rˁm adˁ	rmi: d	ram a:dˁ  *	rama :d	ruma :d	1	rˁam a:d	rama t  r-m-  d	rama ad	1	1	ra’matt	ruman
3	BAR K	qirf at	qeʃ rˁa	ʔoʃr a	ʔiʃr*	ʔəʃər	giʃra	kiʃr	səvi:y e	1	giʃra	giʃr	li:he, girfe	1	*kokobo  lataka, (girifa)
4	BEL LY	batˁ n	ker ʃ	zaʔʔ	batˁ n*	batˁə n	batˁi n	batˁn , ʧarʃ	ʤoof	patn b-tˁ-  n	batˤn	batˁn , karʃ	kirʃ	batin	batna
5	BIG	kab i:r	kbi r	kibi r	kibii r	kbi:r	ʧbi:r	ʧabi: r	gəbi: r	k-b- r	ʕood	Kabii r	kabi:r	ka’biir	kbir
6	BIR D	tˁa: ʔir	tˁir	ʕasf ur	tˁee r*	tˁeer	tˁeer	tˁeer	ku:ʧ ka:ye	2	tˤeer	tˁajr	tˁe:ra	tayra	ter
7	BITE	ʕad ˁdˁa	ʕed ˁdˁ	gidem	ʕadˁdˁ	ʕadˁdˁ	ʕaðˁðˁ	ʕaðˁðˁ	1	ʕaððʕ-dˁ- dˁ	ʕadˤdˤ	lugusˁ	adˁdˁa	yaʕazz	adi
8	BLA CK	ʔas  wa d	kħe l	iswe d	iswi d	ʔasw ad	ʔasw ad	ʔasw ad	əswə d	isfet  s-w- d	ʔasw ad	ʔasw ad	axadˁar	ʔaswad	*asue
9	BLO OD	da m	de mm	dem m	dam m	dam m	dam m	dam	Dam	d-m- y	dam m	Dam	damm	dam	dum
10	BO NE	ʕað  ˁm	ʕdˁ  em	ʕad  ma	ʕad  ma	ʕadˁ  me	ʕaðˁ  ma	ʕaðˁ  m	ʕadˁə  m	3	ʕaðˤ  m	ʕaðˁ  ma	adˁum	ʕazəm	ladim
11	BRE AST	sˁa dr	bez zul a	Side r	sidir *	sˁədˁ ər	nahid	θidi (f.)  sˁidr	2	pzaz 9pl) b-z-  z	deed (f) sˤadr	sˁadr	de:d	sadər;bu Ʒul	*sudur
12	BUR N(V  T	ħar aqa	ħre q	ħar aʔ	ħar aʔ	ħaraʔ	ħirag	ħarak	ħ-r- q	ħ-r- q	ħara g	ħara g	hirig,  taʃʃa (tr)	ʕalag	haragu
13	CLA W	ðˁu fr	dˁfe rˁ	Dife r	dˁifr  ˁ*	dˁəfə r	ðˁifir	iðˁfir	dˁəfə r	ðˁ-f- r	mixla b,  ðˤifr	θˁufri n**	xumfur	2	*dufuru
